Agency ID,Company Name,Cultural Populations Served
17065-PART-01,Faith Temple #2,"East African,Eastern European,Latin American,West African"
18015-PART-01,Bethlehem Baptist Church,"Central/South Asian,East Asian,Latin American,Middle Eastern/ North African,West African"
18245-PART-03,ECD - Wardman Court,"Central/South Asian,East African,Latin American,West African"
18245-PART-06,ECD - Arbor View,"East African,East Asian,Latin American,West African"
18706-PART-01,Freedom Way Missionary Baptist Church,Latin American
18714-PART-01,St. Joseph Catholic Church,West African
18722-PART-01,Prince George's County DSS,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
18738-PART-01,St. Margaret of Scotland Catholic Church,Latin American
18742-PART-01,"FISH of Laurel, Inc.","Central/South Asian,East Asian,Latin American"
18756-PART-04,Shepherd's Table - Progress Place Building,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
18762-PART-01,Rainbow Community Development Center,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
18782-PART-01,Wells Robertson House,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19002-PART-02,Christ Church Lazarus Ministry,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19014-PART-01,"Sowing Empowerment & Economic Development, Inc.","Central/South Asian,East African,East Asian,Latin American,Middle Eastern/ North African,West African"
19035-PART-01,Edward C Mazique Child Care Center,"East African,Latin American,Middle Eastern/ North African,West African"
19048-PART-01,Shabach Emergency Empowerment Center,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19059-PART-01,Victory Drug Center,"East African,East Asian,Latin American,Middle Eastern/ North African,West African"
19062-PART-01,Saint Benedict The Moor,"East African,Latin American,West African"
19065-PART-01,Capital Christian Fellowship,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19066-PART-01,Community Multi-Service,"East African,Latin American,West African"
19071-PART-01,St. Paul United Methodist Church,"Central/South Asian,Latin American,Middle Eastern/ North African,West African"
19076-PART-01,Greater New Hope Baptist Church,"East Asian,West African"
19077-PART-01,"Stoddard Baptist Global Care, Inc.","Central/South Asian,East African,East Asian,Eastern European,Middle Eastern/ North African,West African"
19104-PART-01,Grace Ministries - Culmore,"East Asian,Latin American"
19105-PART-01,Divine Grace Mission,"East African,Latin American,Middle Eastern/ North African,West African"
19111-PART-01,Corinth Baptist Church Outreach Program,"East Asian,Latin American,Middle Eastern/ North African"
19120-PART-01,Woodlawn United Methodist Church,"East African,Eastern European,Latin American,Middle Eastern/ North African,West African"
19143-PART-01,Woodbridge Workers,"Latin American,Middle Eastern/ North African"
19200-PART-01,Floris United Methodist Church,"Central/South Asian,East African,East Asian,Latin American,Middle Eastern/ North African,West African"
19227-PART-01,"Crowder Owens Calvary Food Bank (The Bishop Alfred A. Owens, Jr. Family Life CC)","Central/South Asian,East African,Eastern European,Latin American,Middle Eastern/ North African,West African"
19231-PART-01,The Lord's Chosen Food Pantry,"East African,Latin American,West African"
19236-PART-01,Bull Run Unitarian Universalists,"Latin American,Middle Eastern/ North African,West African"
19240-PART-01,Rising Hope Methodist Mission Church,"Central/South Asian,East African,East Asian,Latin American,Middle Eastern/ North African,West African"
19261-PART-01,St. Anthony of Padua Catholic Church,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19262-PART-01,St. Thomas United Methodist Church,"Central/South Asian,East Asian,Latin American,Middle Eastern/ North African"
19276-PART-01,The Women's Collective,"Central/South Asian,East African,Latin American,Middle Eastern/ North African,West African"
19278-PART-01,First Baptist Church Ken-Gar,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19280-PART-01,Galilee Community Development Corporation,"Central/South Asian,Eastern European,Latin American"
19290-PART-01,Shiloh Church Of God 7 Day,"East African,Latin American,West African"
19295-PART-01,Metropolis Club,"Latin American,Middle Eastern/ North African"
19302-PART-01,Crossover Church,"East African,Eastern European,Latin American,Middle Eastern/ North African,West African"
19307-PART-01,Luther Rice Neighborhood Center,"East African,East Asian,Latin American,West African"
19313-PART-01,Sydenstricker UMC,"Central/South Asian,East Asian,Latin American,West African"
19318-PART-01,"Builders, Inc",Latin American
19338-PART-01,RCCG New Wine Assembly,"Latin American,West African"
19340-PART-01,Gospel Bearers Assembly International,"Central/South Asian,East African,East Asian,Eastern European,Latin American,West African"
19341-PART-01,Clothing of Power Eternal Church,"East Asian,Latin American,West African"
19349-PART-01,New Hampshire Spanish SDA,"East African,Latin American,Middle Eastern/ North African"
19351-PART-01,National Baptist Memorial Church,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19357-PART-01,Centreville UMC,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19370-PART-01,St. Paul's Lutheran Church,"East Asian,Eastern European,Latin American,West African"
19382-PART-01,College Park Community Food Bank,"East Asian,Latin American"
19385-PART-01,Emmanuel UMC,"East Asian,Latin American,Middle Eastern/ North African,West African"
19395-PART-01,Alexandria Food Pantry,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19402-PART-01,St. Stephen's UMC,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19412-PART-01,Little David Baptist Church,"Latin American,West African"
19415-PART-01,St. Camillus Catholic Church,"Central/South Asian,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19428-PART-01,Whosoever Will Christian Church,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19433-PART-01,Great Commission Change of Life Ministries,Latin American
19448-PART-01,Mision Cristiana Agape,"East Asian,Latin American,Middle Eastern/ North African,West African"
19454-PART-01,Faith Social Services,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19462-PART-01,Grace of God Ministry,Latin American
19464-PART-01,Fountain of Restoration Church,"East African,East Asian,Latin American,West African"
19466-PART-01,Mount Ennon Baptist Church,"Central/South Asian,East African,East Asian,Latin American,Middle Eastern/ North African,West African"
19467-PART-01,House of Mercy,East Asian
19471-PART-01,Community Outreach and Development Center CDC,"Central/South Asian,East African,East Asian,Latin American,Middle Eastern/ North African,West African"
19475-PART-01,Holiness Tabernacle Church of God,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19477-PART-01,Maryland Umbrella Group,"East African,Latin American,West African"
19483-PART-01,Women Who Care Ministries,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African"
19485-PART-01,Manna Food Center,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19488-PART-01,"Koinonia Foundation, Inc.","Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19490-PART-01,Allen Chapel AME Church Outreach Ministry,"East Asian,Latin American,West African"
19506-PART-01,Mid County United Ministries (MUM),"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19507-PART-01,Haymarket Regional Food Pantry,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19508-PART-01,Educare Support Services,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19510-PART-01,Yeshua Church of God in Christ INC.,"Eastern European,Latin American,Middle Eastern/ North African,West African"
19521-PART-01,Global Health and Environment Foundation,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19522-PART-01,Marlboro Churches Food Bank,"Latin American,Middle Eastern/ North African"
19534-PART-01,Iglesia Pentecostal Trono de Jehova,"Latin American,West African"
19548-PART-01,"Laurel Advocacy & Referral Services, Inc.","Central/South Asian,East African,East Asian,Latin American,Middle Eastern/ North African,West African"
19549-PART-01,Dar Al-Hijrah Islamic Center,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19551-PART-01,"Reaching The World Community Development, Inc.","East African,Latin American,West African"
19552-PART-01,Our Lady Queen of Peace Church,"East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19556-PART-01,Salvation Army  (PW County),"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19559-PART-01,"Emory Beacon of Light, Inc.","Central/South Asian,East African,East Asian,Latin American,Middle Eastern/ North African,West African"
19569-PART-01,Recovery Program Solutions of Virginia,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19576-PART-01,Mount Pleasant Baptist Church,"Central/South Asian,Latin American,Middle Eastern/ North African,West African"
19582-PART-01,We Are Family,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19583-PART-01,Gospel Assembly Church,"Latin American,West African"
19587-PART-01,Restoration Church,"Central/South Asian,East African,East Asian,Latin American,Middle Eastern/ North African,West African"
19588-PART-01,Clifton Park Baptist Church,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19593-PART-01,"River Jordan, Inc.","Latin American,West African"
19595-PART-01,Beltsville Adventist Community Center,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19601-PART-01,Silver Spring Christian Reformed Church,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19603-PART-01,Sterling United Methodist Church,"Central/South Asian,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19604-PART-01,Springfield Christian Church,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19606-PART-01,Revival Baptist Ministries INT,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19608-PART-01,Montgomery County Muslim Foundation,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19613-PART-01,Horeb SDA,"East African,Eastern European,Latin American,Middle Eastern/ North African,West African"
19617-PART-01,Zion Church Inc.,"East African,Latin American,West African"
19618-PART-01,St. Anne's Episcopal Church ( Food Pantry),"Central/South Asian,East African,East Asian,Latin American,West African"
19619-PART-01,Church of Christ at Mt. Vernon,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19623-PART-01,Iglesia De Dios Pentecostal Nuevo Renacer,"Latin American,Middle Eastern/ North African"
19624-PART-01,Calvary Pentecostal Ministries,"East African,Latin American,Middle Eastern/ North African,West African"
19627-PART-01,Yad Yehuda of Greater Washington,"Eastern European,Middle Eastern/ North African"
19630-PART-01,Messiah United Methodist Church,Latin American
19634-PART-01,This Generation Ministries,"East African,Latin American,West African"
19645-PART-01,ADAMS CENTER,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19647-PART-01,Kitchen of Purpose,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19648-PART-01,Greater Morning Star Apostolic Church,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19653-PART-01,Groveton Baptist Church,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19654-PART-01,The St. Lucy Project,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19658-PART-01,Nourish Now,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19661-PART-01,Salvation Army Arlington Corps,"Central/South Asian,East African,East Asian,Latin American,Middle Eastern/ North African,West African"
19676-PART-01,Calvary Christian Church,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19690-PART-01,Mt. Jezreel Baptist Church,"East African,East Asian,Latin American,Middle Eastern/ North African,West African"
19691-PART-01,Muslim Community Center,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19692-PART-01,Helping Hungry Kids of NOVA,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19697-PART-01,Action Chapel Virginia,"East African,Latin American,Middle Eastern/ North African,West African"
19698-PART-01,Good Success Christian Church,"East African,Latin American,Middle Eastern/ North African,West African"
19699-PART-01,"ABSYNA, Inc. - Brentwood","Central/South Asian,East Asian,Latin American"
19703-PART-01,CAC Wosem- 24th Place,West African
19705-PART-01,WeSERVE CDC,"East African,Latin American,Middle Eastern/ North African,West African"
19711-PART-01,Royal Missionary Baptist Church,"Central/South Asian,East African,East Asian,Latin American,Middle Eastern/ North African,West African"
19712-PART-01,First Baptist Church of Silver Spring Food Closet,"East African,Latin American,West African"
19714-PART-01,Cornerstone Peaceful Bible Baptist Church,"East African,East Asian,Latin American,Middle Eastern/ North African,West African"
19719-PART-01,Kings and Priests International Ministries,"East African,East Asian,Latin American,Middle Eastern/ North African,West African"
19721-PART-01,Second Baptist Church Southwest,"East African,East Asian,Latin American,Middle Eastern/ North African,West African"
19722-PART-01,All Nations Community Church,"Central/South Asian,East African,Eastern European,Latin American,West African"
19724-PART-01,First Baptist Church of District Heights,"East African,East Asian,Latin American,West African"
19725-PART-01,Our Savior Lutheran Church,"Central/South Asian,Latin American"
19726-PART-01,Prince Emmanuel All Nations SDA Church,"East African,Eastern European,Latin American,West African"
19727-PART-01,No Limits Outreach Ministries,Latin American
19728-PART-02,Temple Hills Fresh Start,"Central/South Asian,East Asian,Eastern European,Latin American"
19731-PART-01,"Ark of Grace Mission, Inc","East African,Latin American,Middle Eastern/ North African,West African"
19733-PART-01,St. Stephen's Baptist Church,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19735-PART-01,Divine Connections Faith Ministries,"East African,Latin American,West African"
19736-PART-01,University of Maryland College Park Food Pantry,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19737-PART-01,Resurrection Bible Church,Latin American
19739-PART-01,Victory Christian Ministries International,"Latin American,West African"
19740-PART-01,St. Mark The Evangelist Catholic Church,"Central/South Asian,East African,East Asian,Latin American,Middle Eastern/ North African,West African"
19745-PART-01,Chrisma Charities,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19746-PART-01,CAC Bethel Fellowship Church,"East African,Latin American,West African"
19748-PART-01,Church of the Resurrection,"Central/South Asian,East African,Eastern European,Latin American,Middle Eastern/ North African,West African"
19751-PART-01,Community of Faith United Methodist Church,"East Asian,Eastern European,Latin American,Middle Eastern/ North African"
19752-PART-01,ICNA Relief USA Programs Inc.,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19757-PART-01,Freedom Community Church,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19758-PART-01,Ebenezer Baptist Church,"East African,East Asian,Latin American,Middle Eastern/ North African,West African"
19759-PART-01,"Healing and Deliverance Ministry, Inc.","East African,Latin American,West African"
19761-PART-01,Salvation Army (Fairfax),"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19764-PART-01,Liberty House Ministries,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19768-PART-01,A Place for Hashem Ministries,"East African,Latin American,Middle Eastern/ North African,West African"
19769-PART-02,Faircliff Plaza West,"Central/South Asian,East African,Latin American,West African"
19770-PART-01,Apostolic Church Glorious Vision,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19773-PART-01,"Cheer, Inc.","East African,Latin American,West African"
19775-PART-01,Bethesda Help,"Central/South Asian,East Asian,Latin American"
19776-PART-01,Friends Of Douglass Community Center,"Latin American,West African"
19786-PART-01,Plenty to Eat,"Central/South Asian,Latin American,Middle Eastern/ North African,West African"
19787-PART-01,First African Methodist Episcopal Church of Alexandria,"East Asian,Latin American,Middle Eastern/ North African,West African"
19788-PART-01,Bethel Campus Fellowship,"East African,Latin American,West African"
19790-PART-01,St. Francis Xavier Church Food Pantry,Latin American
19791-PART-01,Hope House,"East African,Latin American,Middle Eastern/ North African,West African"
19792-PART-01,Holy Mountain International Ministries,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19793-PART-01,"Ayuda, Inc.","Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19796-PART-01,Oxon Hill UMC,"Central/South Asian,East Asian,Latin American"
19798-PART-01,Christ Embassy Maryland,"Latin American,West African"
19799-PART-01,Iglesia Evangelica Cristo Promesa Fiel,Latin American
19801-PART-01,Operation Earnie's Plate,"East African,Latin American,West African"
19805-PART-01,Calvary Episcopal Church,"Latin American,West African"
19807-PART-01,Institute for Creative Community Initiatives,"East African,Latin American,West African"
19808-PART-01,Tutoring Cafe,"East African,Latin American,Middle Eastern/ North African,West African"
19809-PART-01,First African Methodist Episcopal Church of Gaithersburg,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19810-PART-01,Ebenezer AME Church,"East African,East Asian,Latin American,West African"
19814-PART-01,ECWA USA Evangelical Church Winning All,"East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19815-PART-01,Harvest Gleaners,"Central/South Asian,East African,East Asian,Latin American,Middle Eastern/ North African,West African"
19819-PART-01,Impact One Church,"Latin American,West African"
19823-PART-01,Royalhouse Chapel International,"East African,Latin American,West African"
19830-PART-01,Community Health Foundation,"East African,Latin American,West African"
19832-PART-01,Turner AME Church,"East African,Latin American,West African"
19833-PART-01,The Sanctuary,Latin American
19834-PART-01,St. Jude Catholic Church,"East Asian,Eastern European,Latin American,Middle Eastern/ North African"
19836-PART-01,Jamil-UL Jalil,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19837-PART-01,Church of The Redeemer of Gaithersburg,"East African,Eastern European,Latin American,Middle Eastern/ North African,West African"
19838-PART-01,Antioch Baptist Church of Clinton,"East African,East Asian,Eastern European,Latin American,West African"
19839-PART-01,Central Baptist Church of Camp Springs,"Central/South Asian,East African,East Asian,Latin American,West African"
19841-PART-01,South Lakes High School PTSA Food Pantry,"Central/South Asian,Eastern European,Latin American,Middle Eastern/ North African"
19842-PART-01,Mother of Light Center,"East African,Latin American"
19843-PART-01,St. Matthias Catholic Church,"Latin American,West African"
19844-PART-01,Lifehouse Church,"East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19850-PART-01,Nourishing Bethesda,"Central/South Asian,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19851-PART-01,"Jaiyeroof, Inc.","East African,East Asian,Latin American,West African"
19854-PART-01,Living Legends Awards for Service to Humanity,"Central/South Asian,East African,Latin American,Middle Eastern/ North African,West African"
19856-PART-01,Guru Nanak Foundation of America (GNFA),"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19857-PART-01,"Faith Village of Greater Laurel, Inc.","East Asian,Latin American,West African"
19859-PART-01,Hughes United Methodist Church,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19860-PART-01,Seneca Creek Community Church (Gaithersburg CARES),"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19861-PART-01,St. Philip's Episcopal Church,"East African,Latin American,Middle Eastern/ North African,West African"
19862-PART-01,The Upcounty Hub Inc,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19868-PART-01,InterFaith Works,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
19869-PART-01,Everlasting Joy Foundation,"Central/South Asian,East Asian,Latin American,Middle Eastern/ North African,West African"
19871-PART-01,Oak Chapel UMC,"East Asian,Latin American,West African"
19872-PART-01,Reid Temple AME Church,"East African,East Asian,Latin American,Middle Eastern/ North African,West African"
19873-PART-01,GAP Food Program,"East African,Latin American,West African"
20000-PART-01,CAFB TEST Agency,"East African,Latin American,Middle Eastern/ North African"
21650-PART-01,Christ United Methodist 5000 Food Ministry,"Central/South Asian,East African,East Asian,Eastern European,Latin American"
21711-PART-01,La Iglesia Episcopal de Santa Maria,"Central/South Asian,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
21718-PART-01,Oakland Baptist Church,"East African,East Asian,Latin American,West African"
21755-PART-01,East Montgomery County Hub,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
21762-PART-01,"Small Things Matter, Inc","Central/South Asian,East African,East Asian,Latin American,Middle Eastern/ North African,West African"
21822-PART-01,Iglesia Pentecostal Cristo Vive,"Latin American,Middle Eastern/ North African"
21823-PART-01,The Church of Pentecost USA. INC,"Latin American,West African"
21860-PART-01,"So What Else, Inc","Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
21874-PART-01,DMV Food Justice Initiative,Latin American
21894-PART-01,"The House, Inc.","Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
21906-PART-01,YWCA National Capital Area,"East African,Latin American,Middle Eastern/ North African,West African"
21947-PART-01,Celestial Church of Christ,"Eastern European,Latin American,West African"
