Name,Region,Zone,Address,Phone,Monthly_schedule,Start_time,End_time,Appointment,Requirements,Distribution_mode,Packaging,Notes,Day,Processed_For_Geocoding,Latitude,Longitude
"Church of the Incarnation, St. Vincent De Paul Society : Church of the Incarnation, St. Vincent De Paul Society",DC, Ward 7," Church of the Incarnation, St. Vincent De Paul Society 880 Eastern Ave  NE Washington DC 20019",(301) 728-3134,3rd of the Month,11:00 AM,02:00 PM,No,"ID,Income",Walk up,Pre-bagged or boxed groceries,,Tuesday,880 Eastern Ave NE Washington DC 20019,38.9070891,-76.9275424
Capital Christian Fellowship : Capital Christian Fellowship,MD, Prince George's County, Capital Christian Fellowship 10411 Greenbelt Rd  Lanham MD 20706,,Every week,12:00 PM,12:30 PM,No,,Walk up,Loose groceries,,Sunday || Wednesday,10411 Greenbelt Rd Lanham MD 20706,,
Grace Ministries - Culmore : Grace Ministries - Culmore,VA, Fairfax County, Grace Ministries - Culmore 5901 Leesburg Pike Falls Church VA 22041,(703) 220-5907,1st of the Month,04:00 PM,06:00 PM,No,,Walk up,,,Friday,5901 Leesburg Pike Falls Church VA 22041,,
Divine Grace Mission : Divine Grace Mission,MD, Prince George's County, Divine Grace Mission 4208 Glenn Dale Rd Bowie MD 20720,(240) 460-0842,3rd of the Month,10:30 AM,02:00 PM,No,,"Home Delivery,Walk up",Pre-bagged or boxed groceries,,Saturday,4208 Glenn Dale Rd Bowie MD 20720,,
Bull Run Unitarian Universalists : Bull Run Unitarian Universalists,VA, Manassas City, Bull Run Unitarian Universalists 9350 Main Street Manassas VA 20110,(703) 361-6269,2nd and 4th of the Month,09:30 AM,11:30 AM,Yes,,Walk up,Loose groceries,,Tuesday,9350 Main Street Manassas VA 20110,38.7516111,-77.4720402
St. Thomas United Methodist Church : St. Thomas United Methodist Church,VA, Manassas City, St. Thomas United Methodist Church 8899 Sudley Road Manassas VA 20110,(703) 368-5161,Every week,09:00 AM,11:00 AM,No,,Walk up,,If you are in line by 11AM you will get food that day!,Saturday,8899 Sudley Road Manassas VA 20110,38.7637627,-77.4783669
RCCG New Wine Assembly : RCCG New Wine Assembly,DC, Ward 7, RCCG New Wine Assembly 1625 Olive Street NE Washington DC 20019,(202) 398-2211,2nd and 4th of the Month,10:00 AM,12:00 PM,No,,Walk up,,,Saturday,1625 Olive Street NE Washington DC 20019,38.9104865,-76.9334733
National Baptist Memorial Church : National Baptist Memorial Church,DC, Ward 1, National Baptist Memorial Church 1501 Columbia Rd NW Washington DC 20009,(202) 841-3742,2nd and 4th of the Month,09:00 AM,12:00 PM,No,,Walk up,Loose groceries,,Saturday,1501 Columbia Rd NW Washington DC 20009,38.9270507,-77.0359884
St. Paul's Lutheran Church : St. Paul's Lutheran Church,DC, Ward 3, St. Paul's Lutheran Church 4900 Connecticut Ave NW  Washington DC  20008,(202) 966-5489,1st and 3rd of the Month,10:00 AM,12:00 PM,No,,Walk up,Loose groceries,,Saturday,4900 Connecticut Ave NW Washington DC 20008,38.954414,-77.069584
Little David Baptist Church : Little David Baptist Church,MD, Prince George's County, Little David Baptist Church 3103 Shepherd Street Mount Rainier MD 20712,(301) 927-5565,Every Other Week,09:30 AM,11:00 AM,Yes,,Walk up,Loose groceries,,Friday || Sunday,3103 Shepherd Street Mount Rainier MD 20712,38.9395435,-76.9636211
Mt. Ennon Baptist Church : Mount Ennon Baptist Church,MD, Prince George's County, Mount Ennon Baptist Church 9832 Piscataway Road Clinton MD 20735,(240) 599-6424,All,11:00 AM,02:00 PM,No,,Walk up,,,Saturday || Tuesday,9832 Piscataway Road Clinton MD 20735,38.7537896,-76.9223848
"Koinonia Foundation, Inc. : Koinonia Foundation, Inc.",VA, Fairfax County," Koinonia Foundation, Inc. 6037 Franconia Road Alexandria VA 22310",(703) 469-7354,Every week,09:00 AM,12:30 PM,No,Zip Code,"Drive thru,Walk up",,Must live in service area.  Call to check,Friday || Monday || Saturday || Thursday || Tuesday || Wednesday,6037 Franconia Road Alexandria VA 22310,,
Marlboro Churches Food Bank : Marlboro Churches Food Bank,MD, Prince George's County, Marlboro Churches Food Bank 4610 Largo Rd. Upper Marlboro MD 20772,(240) 447-8712,2nd of the Month,07:00 AM,09:00 AM,No,,"Drive thru,Home Delivery,Walk up",Prepared meals,,Saturday,4610 Largo Rd. Upper Marlboro MD 20772,,
Iglesia Pentecostal Trono de Jehova : Iglesia Pentecostal Trono de Jehova,VA, Prince William County, Iglesia Pentecostal Trono de Jehova 2260 York Drive Woodbridge VA 22191,(703) 501-2559,All,06:00 PM,07:30 PM,No,,"Drive thru,Home Delivery,Walk up",,,Friday,2260 York Drive Woodbridge VA 22191,38.65418,-77.279687
Our Lady Queen of Peace Church : Our Lady Queen of Peace Church,VA, Arlington County, Our Lady Queen of Peace Church 2700 19th Street South Arlington VA 22204,(703) 979-5580,Every week,08:30 AM,11:30 AM,No,,"Home Delivery,Walk up",Loose groceries,,Wednesday,2700 19th Street South Arlington VA 22204,38.8541288,-77.0831513
"Emory Beacon of Light, Inc. : Emory Beacon of Light, Inc.",DC, Ward 4," Emory Beacon of Light, Inc. 6100 Georgia Avenue NW  Washington  DC 20011",,Every week,12:00 PM,02:00 PM,Yes,,"Home Delivery,Walk up",Loose groceries,,Tuesday,6100 Georgia Avenue NW Washington DC 20011,38.9641578,-77.0281926
Sterling United Methodist Church : Sterling United Methodist Church,VA,**Outside CAFB Service Area**, Sterling United Methodist Church 304 East Church Road Sterling VA 20164,(703) 430-6455,2nd of the Month,07:30 AM,11:00 AM,No,Income,"Drive thru,Walk up",,,Saturday,304 East Church Road Sterling VA 20164,39.0078829,-77.3928168
St. Anne's Episcopal Church ( Food Pantry) : St. Anne's Episcopal Church ( Food Pantry),VA, Fairfax County, St. Anne's Episcopal Church ( Food Pantry) 1700 Wainwright Drive Reston VA 20190,(925) 323-7084,3rd of the Month,11:30 AM,01:00 PM,No,,"Home Delivery,Walk up",Loose groceries,,Thursday,1700 Wainwright Drive Reston VA 20190,,
New Macedonia Baptist Church : New Macedonia Baptist Church,DC, Ward 7, New Macedonia Baptist Church 4115 Alabama Ave SE  Washington DC 20019,,Every week,09:00 AM,11:00 AM,No,,Drive thru,Loose groceries,,Wednesday,4115 Alabama Ave SE Washington DC 20019,38.8706096,-76.9422796
New Samaritan Baptist Church : New Samaritan Baptist Church,DC, Ward 6, New Samaritan Baptist Church 1100 Florida Ave NE Washington DC 20002,(202) 397-1870,2nd and 4th of the Month,10:00 AM,01:00 PM,No,,"Drive thru,Home Delivery,Walk up",Pre-bagged or boxed groceries,"We provide clothing and a small portion of food on the 3rd Saturday of each month starting on 10/19/2024 hours are 10:00am- 12noon at the AGAPE Clothes and Food Pantry. The location is 1105 Florida Avenue, N.E .Washington, DC 20002",Wednesday,1100 Florida Ave NE Washington DC 20002,38.9036929,-76.9915544
Greater Morning Star Apostolic Church : Greater Morning Star Apostolic Church,VA, Fairfax County,"James V. Myers, JR 7929 Richmond Highway Alexandria VA 22306-",(913) 290-0606,Every week,10:00 AM,04:00 PM,No,,Walk up,Loose groceries,,Friday,7929 Richmond Highway Alexandria VA 22306-,38.7926156,-77.056737
Royal Missionary Baptist Church : Royal Missionary Baptist Church,VA, Fairfax County, Royal Missionary Baptist Church 8631 Engleside Office Park Alexandria VA 22309,(571) 481-1896,Every week,08:00 AM,01:00 PM,No,Income,"Home Delivery,Walk up",Loose groceries,,Saturday || Sunday,8631 Engleside Office Park Alexandria VA 22309,,
Prince Emmanuel All Nations SDA Church : Prince Emmanuel All Nations SDA Church,MD, Prince George's County, Prince Emmanuel All Nations SDA Church 1925 Mitchellville Rd Bowie MD 20716,(301) 648-4884,4th of the Month,01:00 PM,03:00 PM,No,ID,Walk up,"Loose groceries,Pre-bagged or boxed groceries",provides walk up and home delivery distribution,Sunday,1925 Mitchellville Rd Bowie MD 20716,38.9156728,-76.7216523
St. Stephen's Baptist Church : St. Stephen's Baptist Church,MD, Prince George's County, St. Stephen's Baptist Church 5757 Temple Hill Road Camp Springs MD 20748,(240) 350-8132,Every week,11:00 AM,03:00 PM,No,"Income,Zip Code",Drive thru,Loose groceries,,Tuesday,5757 Temple Hill Road Camp Springs MD 20748,38.8040834,-76.9332718
Breath of Life SDA Church : Breath of Life SDA Church,MD, Prince George's County, Breath of Life SDA Church 11310 Fort Washington Road Fort Washington MD 20744,(301) 292-2100,2nd of the Month,09:30 AM,05:00 PM,No,"ID,Zip Code",Drive thru,Loose groceries,,Wednesday,11310 Fort Washington Road Fort Washington MD 20744,38.7396063,-77.0000327
Apostolic Church Glorious Vision : Apostolic Church Glorious Vision,MD, Prince George's County, Apostolic Church Glorious Vision 3004 Enterprise Road Bowie MD 20721,(757) 275-3905,2nd and 4th of the Month,10:00 AM,07:00 PM,No,Zip Code,"Home Delivery,Walk up",,,Saturday || Sunday,3004 Enterprise Road Bowie MD 20721,,
Bethesda Help : Bethesda Help,MD, Montgomery County, Bethesda Help 10100 Old Georgetown Road Bethesda MD 20814,(301) 928-4078,Every week,09:00 AM,04:30 PM,Yes,"ID,Zip Code",Home Delivery,Pre-bagged or boxed groceries,Clients must call to request food.  Drivers will deliver food within 48 hours,Friday || Monday || Thursday || Tuesday || Wednesday,10100 Old Georgetown Road Bethesda MD 20814,38.9991552,-77.1094888
Turner AME Church : Turner AME Church,MD, Prince George's County, Turner AME 7201 16th Place Hyattsville MD 20783,(240) 417-6012,Every Other Week,12:00 PM,02:00 PM,No,,Walk up,,,Friday,7201 16th Place Hyattsville MD 20783,,
St. Jude Catholic Church : St. Jude Catholic Church,MD, Montgomery County, St. Jude Catholic Church 12701 Veirs Mill Rockville MD 20853,,Every week,08:00 AM,09:30 AM,No,"ID,Zip Code",Walk up,,,Saturday,12701 Veirs Mill Rockville MD 20853,39.0737472,-77.1124428
Jamil-UL Jalil : Jamil-UL Jalil,MD, Prince George's County, Jamil-UL Jalil 10845 Lanham Severn Road Glenn Dale MD 20769,(240) 381-1143,3rd of the Month,09:30 AM,04:30 PM,No,"Income,Zip Code","Home Delivery,Walk up",Loose groceries,"Our distribution is every third week of the month, Starting 9:3am till 11:30am, then from 2:00pm till 4:30pm becaus of prayer time.",Friday,10845 Lanham Severn Road Glenn Dale MD 20769,38.9859145,-76.8210757
Mother of Light Center : Mother of Light Center,VA, City of Alexandria, Mother of Light Center 421 Clifford Ave Alexandria VA 22305,(703) 508-5289,Every week,10:00 AM,01:00 PM,No,"Income,Zip Code",Other,,,Friday || Monday || Saturday || Thursday || Tuesday || Wednesday,421 Clifford Ave Alexandria VA 22305,38.8320336,-77.0530997
Christ United Methodist : Christ United Methodist 5000 Food Ministry,DC, Ward 6," Christ United Methodist 900 4th Street SW Washington, DC 20024 Washington DC 20024",(202) 669-2664,2nd and 4th of the Month,02:00 PM,03:00 PM,No,,"Home Delivery,Walk up",Loose groceries,,Saturday,"900 4th Street SW Washington, DC 20024 Washington DC 20024",,
Lutheran Church of the Abiding Presence : Lutheran Church of the Abiding Presence,VA, Fairfax County, Lutheran Church of the Abiding Presence 6304 Lee Chapel Rd Burke VA 22015,(703) 455-7500,2nd and 4th of the Month,08:30 AM,11:30 AM,No,,Walk up,Loose groceries,There is one pantry in December on December 14. For more information go to our website www.abidingpresence.net/needhelp,Saturday,6304 Lee Chapel Rd Burke VA 22015,38.7818088,-77.2778335
Loaves & Fishes : Loaves & Fishes,DC, Ward 1, Loaves & Fishes 1525 Newton St NW Washington DC 20910,(240) 855-5874,Every week,08:30 AM,11:30 AM,No,,"Home Delivery,Walk up",Prepared meals,No verification required,Saturday || Sunday,1525 Newton St NW Washington DC 20910,38.933592,-77.0355665
Northern Virginia Food Rescue : Northern Virginia Food Rescue,VA, Prince William County, Northern Virginia Food Rescue 10535 Battleview Pkwy Manassas VA 20110,(703) 822-5205,Every week,08:00 AM,02:00 PM,No,,Walk up,,,Friday || Monday || Thursday || Tuesday || Wednesday,10535 Battleview Pkwy Manassas VA 20110,,
The Redeemed Christian Church of God - Victory Temple : The Redeemed Christian Church of God - Victory Temple,VA, Fairfax County, The Redeemed Christian Church of God - Victory Temple 7218 Lockport Place Lorton VA 22079,(804) 625-9423,2nd and 4th of the Month,10:00 AM,12:00 PM,No,Zip Code,"Home Delivery,Walk up",Loose groceries,,Saturday,7218 Lockport Place Lorton VA 22079,,
Love Donation Pantry : Love Donation Pantry,MD, Prince George's County, Love Donation Pantry 3450 Laurel Fort Meade Rd. Suite 101 Laurel MD 20708,(240) 486-4213,Every week,12:00 PM,Until Food Runs Out,No,,Walk up,Loose groceries,Hours remains the same.,Friday || Wednesday,3450 Laurel Fort Meade Rd. Suite 101 Laurel MD 20708,,
The Hope Association : Hope Multiplied,DC, Ward 8, The Hope Association 80 Mst SE Washington DC DC 20003,(571) 445-4673,4th of the Month,11:00 AM,12:30 PM,No,,Home Delivery,Loose groceries,Held at Fellowship Baptist Church,Saturday,80 Mst SE Washington DC DC 20003,,
Wells Robertson House : Wells Robertson House,MD, Montgomery County, Wells Robertson House 1 Wells Ave Gaithersburg MD 20877,(301) 258-6390,Every week,09:00 AM,05:00 PM,No,,"Drive thru,Walk up",,,All || Friday || Saturday || Sunday || Thursday || Wednesday,1 Wells Ave Gaithersburg MD 20877,39.1409984,-77.1923173
Ward 7 Food Center of Peace Lutheran Church : Ward 7 Food Center of Peace Lutheran Church,DC, Ward 7,  Food & Clothing Center of Ward 7 (Peace Lutheran Church) 4929 Ames St NE Washington  DC 20019,(301) 367-6983,Every week,10:30 AM,02:30 PM,Yes,"Income,Zip Code",Walk up,Pre-bagged or boxed groceries,,Monday || Thursday || Tuesday || Wednesday,7 (Peace Lutheran Church) 4929 Ames St NE Washington DC 20019,,
New Hope Housing Kennedy : New Hope Housing Kennedy Shelter,VA, Fairfax County, New Hope Housing Kennedy 9155 Richmond Hwy Fort Belvoir VA 22060,(703) 859-5750,Every week,08:00 AM,04:00 PM,No,,"Drive thru,Home Delivery,Walk up",,,Friday || Monday || Saturday || Sunday || Thursday || Tuesday || Wednesday,9155 Richmond Hwy Fort Belvoir VA 22060,38.7168981,-77.1326408
Mt. Rainier Seventh Day Adventist Spanish Church : Mount Rainier Seventh Day Adventist Spanish Church,MD, Prince George's County, Mount Rainier Seventh Day Adventist Spanish Chuch 6012 Ager Road Hyattsville MD 20782,(240) 346-9272,2nd of the Month,07:00 PM,09:00 PM,Yes,ID,"Drive thru,Home Delivery,Walk up",Loose groceries,,Saturday || Wednesday,6012 Ager Road Hyattsville MD 20782,38.9542534,-76.965287
SevaTruck Foundation : SevaTruck Foundation,VA, Fairfax County, SevaTruck Foundation 2815 Old Lee Hwy Fairfax Fairfax VA 22031,(202) 550-3018,Every week,03:00 PM,05:00 PM,Yes,,Walk up,Prepared meals,"Braddock ES-7825 Heritage Dr, Annandale, VA 22003",Friday || Monday || Thursday || Tuesday || Wednesday,2815 Old Lee Hwy Fairfax Fairfax VA 22031,38.8757888,-77.2392203
Community Multi-Service : Community Multi-Service,DC, Ward 4,Community Multi-Service 6300 9th St NW  Washington DC  DC 20011,(301) 588-9280,Every week,09:00 AM,05:00 PM,No,,"Drive thru,Home Delivery,Walk up",Prepared meals,,Friday || Monday || Saturday || Sunday || Thursday || Tuesday || Wednesday,6300 9th St NW Washington DC DC 20011,38.966347,-77.0262483
Central Baptist Church of Camp Springs : Central Baptist Church of Camp Springs,MD, Prince George's County, Central Baptist Church of Camp Springs 5600 Old Branch Avenue Camp Springs MD 20748,(301) 899-3800,Every week,10:00 AM,02:00 PM,Yes,ID,Home Delivery,,,Friday || Thursday || Tuesday || Wednesday,5600 Old Branch Avenue Camp Springs MD 20748,38.8130599,-76.9130871
