Name,Agency Region,County/Ward,Address,Phone,Day of Week,Monthly Options,Starting Time,Ending Time,By Appointment Only,Food Pantry Requirements,Distribution Models,Food Format ,Additional Note on Hours of Operations,Original_Address,Processed_For_Geocoding,Latitude,Longitude
Hope Presbyterian Church : Hope Presbyterian Church,MD,MD Prince George's County,Attn: Hope Presbyterian Church 1100 Enterprise Road Mitchellville MD 20721,(240) 678-7667,Saturday,4th of the Month,10:00 AM,12:00 PM,No,,,Pre-bagged or boxed groceries,Come around church to rear,Attn: Hope Presbyterian Church 1100 Enterprise Road Mitchellville MD 20721,1100 Enterprise Road Mitchellville MD 20721,,
Kingdom Global Community Development Corporation : Kingdom Cares Center,MD,MD Prince George's County,Attn: Kingdom Care Center 11700 Beltsville Drive Beltsville MD 20705,(240) 707-1085,Saturday,Every week,09:00 AM,10:30 AM,No,ID,,Pre-bagged or boxed groceries,"This food distribution takes place at 11710 Beltsville Drive, Beltsville MD 20904. You may have to enter parking lot in rear via Calverton Blvd",Attn: Kingdom Care Center 11700 Beltsville Drive Beltsville MD 20705,11700 Beltsville Drive Beltsville MD 20705,39.0474783,-76.9378141
"Mission of Love Charities, Inc. : Mission of Love Charities, Inc.",MD,MD Prince George's County,"Attn: Mission of Love Charities, Inc. 6180 Central Avenue Capitol Heights MD 20743",(301) 333-4440,Monday,Every week,08:30 AM,03:30 PM,No,"ID,Income",,Pre-bagged or boxed groceries,Prepared Meals as well,"Attn: Mission of Love Charities, Inc. 6180 Central Avenue Capitol Heights MD 20743",6180 Central Avenue Capitol Heights MD 20743,,
"Mission of Love Charities, Inc. : Mission of Love Charities, Inc.",MD,MD Prince George's County,"Attn: Mission of Love Charities, Inc. 6180 Central Avenue Capitol Heights MD 20743",(301) 333-4440,Tuesday,Every week,08:30 AM,03:30 PM,No,"ID,Income",,Pre-bagged or boxed groceries,Prepared Meals as well,"Attn: Mission of Love Charities, Inc. 6180 Central Avenue Capitol Heights MD 20743",6180 Central Avenue Capitol Heights MD 20743,,
"Mission of Love Charities, Inc. : Mission of Love Charities, Inc.",MD,MD Prince George's County,"Attn: Mission of Love Charities, Inc. 6180 Central Avenue Capitol Heights MD 20743",(301) 333-4440,Wednesday,Every week,08:30 AM,03:30 PM,No,"ID,Income",,Pre-bagged or boxed groceries,Prepared Meals as well,"Attn: Mission of Love Charities, Inc. 6180 Central Avenue Capitol Heights MD 20743",6180 Central Avenue Capitol Heights MD 20743,,
"Mission of Love Charities, Inc. : Mission of Love Charities, Inc.",MD,MD Prince George's County,"Attn: Mission of Love Charities, Inc. 6180 Central Avenue Capitol Heights MD 20743",(301) 333-4440,Thursday,Every week,08:30 AM,03:30 PM,No,"ID,Income",,Pre-bagged or boxed groceries,Prepared Meals as well,"Attn: Mission of Love Charities, Inc. 6180 Central Avenue Capitol Heights MD 20743",6180 Central Avenue Capitol Heights MD 20743,,
"Mission of Love Charities, Inc. : Mission of Love Charities, Inc.",MD,MD Prince George's County,"Attn: Mission of Love Charities, Inc. 6180 Central Avenue Capitol Heights MD 20743",(301) 333-4440,Friday,Every week,08:30 AM,12:00 PM,No,"ID,Income",,Pre-bagged or boxed groceries,Prepared Meals as well,"Attn: Mission of Love Charities, Inc. 6180 Central Avenue Capitol Heights MD 20743",6180 Central Avenue Capitol Heights MD 20743,,
Montgomery County Family Center : Montgomery County Family Center,MD,MD Montgomery County,Attn: Montgomery County Family Center 12247 Georgia Ave. Silver Spring MD 20902,(301) 942-1790,Tuesday,"2nd, 3rd, and 4th of the Month",09:00 AM,04:00 PM,No,"ID,Zip Code",,Pre-bagged or boxed groceries,,Attn: Montgomery County Family Center 12247 Georgia Ave. Silver Spring MD 20902,12247 Georgia Ave. Silver Spring MD 20902,39.0565367,-77.0501716
SOME : So Others Might Eat,DC,DC Ward 5,Attn: SOME 71 O ST NW Washington DC 20002,(202) 235-1472,Monday,Every week,09:00 AM,11:00 AM,No,"ID,Income,Zip Code",Walk up,Loose groceries,,Attn: SOME 71 O ST NW Washington DC 20002,71 O ST NW Washington DC 20002,38.9089563,-77.0114316
The ARK of DC Foundation : The ARK of DC Foundation,DC,DC Ward 5,Attn: The ARK of DC Foundation 1818 New York Ave. NE Washington DC 20002,(771) 210-9962,Wednesday,Every week,09:00 AM,05:00 PM,No,"ID,Zip Code",,Loose groceries,DC Residents only,Attn: The ARK of DC Foundation 1818 New York Ave. NE Washington DC 20002,1818 New York Ave. NE Washington DC 20002,38.9176751,-76.9767498
Catholic University of America : The Cardinal Cupboard,DC,DC Ward 5,Attn: Catholic University of America: The Cardinal Cupboard 620 Michigan Ave NE Washington DC 20064,(202) 319-5575,Tuesday,Every week,12:00 PM,06:00 PM,No,,,Loose groceries,,Attn: Catholic University of America: The Cardinal Cupboard 620 Michigan Ave NE Washington DC 20064,620 Michigan Ave NE Washington DC 20064,38.9391024,-76.9999642
Catholic University of America : The Cardinal Cupboard,DC,DC Ward 5,Attn: Catholic University of America: The Cardinal Cupboard 620 Michigan Ave NE Washington DC 20064,(202) 319-5575,Wednesday,Every week,12:00 PM,06:00 PM,No,,,Loose groceries,,Attn: Catholic University of America: The Cardinal Cupboard 620 Michigan Ave NE Washington DC 20064,620 Michigan Ave NE Washington DC 20064,38.9391024,-76.9999642
Catholic University of America : The Cardinal Cupboard,DC,DC Ward 5,Attn: Catholic University of America: The Cardinal Cupboard 620 Michigan Ave NE Washington DC 20064,(202) 319-5575,Thursday,Every week,12:00 PM,06:00 PM,No,,,Loose groceries,,Attn: Catholic University of America: The Cardinal Cupboard 620 Michigan Ave NE Washington DC 20064,620 Michigan Ave NE Washington DC 20064,38.9391024,-76.9999642
Catholic University of America : The Cardinal Cupboard,DC,DC Ward 5,Attn: Catholic University of America: The Cardinal Cupboard 620 Michigan Ave NE Washington DC 20064,(202) 319-5575,Friday,Every week,12:00 PM,06:00 PM,No,,,Loose groceries,,Attn: Catholic University of America: The Cardinal Cupboard 620 Michigan Ave NE Washington DC 20064,620 Michigan Ave NE Washington DC 20064,38.9391024,-76.9999642
Faith Tabernacle of Prayer : Faith Tabernacle of Prayer,DC,DC Ward 8,Attn: Faith Tabernacle of Prayer 2465 Alabama Ave SE Washington DC 20020,(202) 678-6012,Saturday,1st of the Month,11:30 AM,01:30 PM,No,,,Pre-bagged or boxed groceries,"no income, ID, or zip code requirement",Attn: Faith Tabernacle of Prayer 2465 Alabama Ave SE Washington DC 20020,2465 Alabama Ave SE Washington DC 20020,38.8546279,-76.9696303
Code 3 Association : Code 3 Association,DC,VA Falls Church City,Attn: Code 3 Association 2929 Graham Road Falls Church VA 22042,(703) 400-2118,Saturday,"1st, 2nd, and 3rd of the Month",11:00 AM,12:00 PM,No,,Walk up,Loose groceries,,Attn: Code 3 Association 2929 Graham Road Falls Church VA 22042,3 Association 2929 Graham Road Falls Church VA 22042,,
Enterprise Community Development : ECD - Edgewood Commons,DC,DC Ward 5,Attn: ECD - Edgewood Commons 8403 Colesville Rd Suite 1150 Silver Spring MD 20910,(202) 506-4520,Thursday,1st and 3rd of the Month,11:00 AM,04:00 PM,No,,,,Fresh Produce,Attn: ECD - Edgewood Commons 8403 Colesville Rd Suite 1150 Silver Spring MD 20910,8403 Colesville Rd Suite 1150 Silver Spring MD 20910,,
Catholic University of America : The Cardinal Cupboard,DC,DC Ward 5,Attn: Catholic University of America: The Cardinal Cupboard 620 Michigan Ave NE Washington DC 20064,(202) 319-5575,Monday,Every week,12:00 PM,06:00 PM,No,,,,,Attn: Catholic University of America: The Cardinal Cupboard 620 Michigan Ave NE Washington DC 20064,620 Michigan Ave NE Washington DC 20064,38.9391024,-76.9999642
The Gourmet Angel Food Bank : The Gourmet Angel Food Bank,VA,VA City of Alexandria,Mount Jezreel Baptist Church 317 N Payne Street Alexandria VA 22314,(469) 237-7858,Friday,Every week,10:00 AM,12:00 PM,No,,,,,Mount Jezreel Baptist Church 317 N Payne Street Alexandria VA 22314,317 N Payne Street Alexandria VA 22314,38.8087712,-77.0525098
Lorton Community Action Center : Lorton Community Action Center,VA,VA Fairfax County,Attn: Lorton Community Action Center 9520 Richmond Hwy door A3 Lorton VA 22079,(703) 339-5161,Wednesday,Every week,11:00 AM,05:00 PM,No,Zip Code,,,"22060, 22079",Attn: Lorton Community Action Center 9520 Richmond Hwy door A3 Lorton VA 22079,9520 Richmond Hwy door A3 Lorton VA 22079,,
Lorton Community Action Center : Lorton Community Action Center,VA,VA Fairfax County,Attn: Lorton Community Action Center 9520 Richmond Hwy door A3 Lorton VA 22079,(703) 339-5161,Thursday,Every week,09:00 AM,11:00 AM,No,Zip Code,,,"22060, 22079",Attn: Lorton Community Action Center 9520 Richmond Hwy door A3 Lorton VA 22079,9520 Richmond Hwy door A3 Lorton VA 22079,,
Lorton Community Action Center : Lorton Community Action Center,VA,VA Fairfax County,Attn: Lorton Community Action Center 9520 Richmond Hwy door A3 Lorton VA 22079,(703) 339-5161,Tuesday,Every week,05:00 PM,07:00 PM,No,Zip Code,,,"22060, 22079",Attn: Lorton Community Action Center 9520 Richmond Hwy door A3 Lorton VA 22079,9520 Richmond Hwy door A3 Lorton VA 22079,,
District House GWU : DC University Food Pantry GWU,DC,DC Ward 2,"Attn: District House GWU 800 21st Street NW Ground Floor, Military and Veteran Services Washington DC 20052",(202) 994-9192,Wednesday,Every week,12:00 PM,06:00 PM,No,,Walk up,Loose groceries,Members of the George Washington Univ. community only.,"Attn: District House GWU 800 21st Street NW Ground Floor, Military and Veteran Services Washington DC 20052","800 21st Street NW Ground Floor, Military and Veteran Services Washington DC 20052",,
District House GWU : DC University Food Pantry GWU,DC,DC Ward 2,"Attn: District House GWU 800 21st Street NW Ground Floor, Military and Veteran Services Washington DC 20052",(202) 994-9192,Friday,Every week,02:00 PM,08:00 PM,No,,Walk up,Loose groceries,Open to George Washington University Students Only,"Attn: District House GWU 800 21st Street NW Ground Floor, Military and Veteran Services Washington DC 20052","800 21st Street NW Ground Floor, Military and Veteran Services Washington DC 20052",,
District House GWU : DC University Food Pantry GWU,DC,DC Ward 2,"Attn: District House GWU 800 21st Street NW Ground Floor, Military and Veteran Services Washington DC 20052",(202) 994-9192,Monday,Every week,12:00 PM,06:00 PM,No,,Walk up,Loose groceries,Open to George Washington University Students Only,"Attn: District House GWU 800 21st Street NW Ground Floor, Military and Veteran Services Washington DC 20052","800 21st Street NW Ground Floor, Military and Veteran Services Washington DC 20052",,
District House GWU : DC University Food Pantry GWU,DC,DC Ward 2,"Attn: District House GWU 800 21st Street NW Ground Floor, Military and Veteran Services Washington DC 20052",(202) 994-9192,Thursday,Every week,12:00 PM,06:00 PM,No,,Walk up,Loose groceries,Members of the George Washington Univ. community only.,"Attn: District House GWU 800 21st Street NW Ground Floor, Military and Veteran Services Washington DC 20052","800 21st Street NW Ground Floor, Military and Veteran Services Washington DC 20052",,
District House GWU : DC University Food Pantry GWU,DC,DC Ward 2,"Attn: District House GWU 800 21st Street NW Ground Floor, Military and Veteran Services Washington DC 20052",(202) 994-9192,Tuesday,Every week,12:00 PM,06:00 PM,No,,Walk up,Loose groceries,Members of the George Washington Univ. community only.,"Attn: District House GWU 800 21st Street NW Ground Floor, Military and Veteran Services Washington DC 20052","800 21st Street NW Ground Floor, Military and Veteran Services Washington DC 20052",,
Interfaith Community Action Council : Interfaith Community Action Council - Oxon Hill Food Pantry,MD,MD Prince George's County,Attn: Oxon Hill Food Pantry 4915 Saint Barnabas Road Temple Hills MD 20748,(301) 899-8358,Saturday,2nd of the Month,10:00 AM,12:00 PM,Yes,Zip Code,"Drive thru,Walk up",Loose groceries,,Attn: Oxon Hill Food Pantry 4915 Saint Barnabas Road Temple Hills MD 20748,4915 Saint Barnabas Road Temple Hills MD 20748,38.8219741,-76.9565649
Father Mckenna Center : The Father McKenna Center,DC,DC Ward 6,Attn: The Father McKenna Center 900 North Capital St NW Washington DC DC 20002,(202) 842-1112,Friday,Every week,01:30 PM,02:30 PM,No,"ID,Income",Walk up,Loose groceries,"To use our full pantry, we require that in an addition to a photo ID that our visitors provide us with a copy of a proof of residence in DC. This can be a current lease, or a recent utility bill, rent receipt, mortgage, or deed.",Attn: The Father McKenna Center 900 North Capital St NW Washington DC DC 20002,900 North Capital St NW Washington DC DC 20002,,
Father Mckenna Center : The Father McKenna Center,DC,DC Ward 6,Attn: The Father McKenna Center 900 North Capital St NW Washington DC DC 20002,(202) 842-1112,Thursday,Every week,01:30 PM,02:30 PM,No,"ID,Income",Walk up,Loose groceries,"To use our full pantry, we require that in an addition to a photo ID that our visitors provide us with a copy of a proof of residence in DC. This can be a current lease, or a recent utility bill, rent receipt, mortgage, or deed.",Attn: The Father McKenna Center 900 North Capital St NW Washington DC DC 20002,900 North Capital St NW Washington DC DC 20002,,
Father Mckenna Center : The Father McKenna Center,DC,DC Ward 6,Attn: The Father McKenna Center 900 North Capital St NW Washington DC DC 20002,(202) 842-1112,Tuesday,Every week,01:30 PM,02:30 PM,No,"ID,Income",Walk up,Loose groceries,"To use our full pantry, we require that in an addition to a photo ID that our visitors provide us with a copy of a proof of residence in DC. This can be a current lease, or a recent utility bill, rent receipt, mortgage, or deed.",Attn: The Father McKenna Center 900 North Capital St NW Washington DC DC 20002,900 North Capital St NW Washington DC DC 20002,,
Father Mckenna Center : The Father McKenna Center,DC,DC Ward 6,Attn: The Father McKenna Center 900 North Capital St NW Washington DC DC 20002,(202) 842-1112,Monday,Every week,01:30 PM,02:30 PM,No,"ID,Income",Walk up,Loose groceries,"To use our full pantry, we require that in an addition to a photo ID that our visitors provide us with a copy of a proof of residence in DC. This can be a current lease, or a recent utility bill, rent receipt, mortgage, or deed.",Attn: The Father McKenna Center 900 North Capital St NW Washington DC DC 20002,900 North Capital St NW Washington DC DC 20002,,
Brighter Day Ministries Food Pantry : Brighter Day Ministries Food Pantry,DC,DC Ward 8,Brighter Day Ministries Food Pantry 3209 5th Street SE Washington DC 20032,(301) 806-4305,Thursday,Every week,11:00 AM,02:00 PM,No,"ID,Income",Walk up,Loose groceries,,Brighter Day Ministries Food Pantry 3209 5th Street SE Washington DC 20032,3209 5th Street SE Washington DC 20032,38.842617,-76.9997498
Foggy Bottom Food Pantry : Foggy Bottom Food Pantry (United Church),DC,DC Ward 2,Attn: Foggy Bottom Food Pantry 1920 G Street NW Washington DC 20006,(202) 573-0450,Saturday,2nd and 4th of the Month,10:00 AM,12:00 PM,No,"ID,Income,Zip Code",,,,Attn: Foggy Bottom Food Pantry 1920 G Street NW Washington DC 20006,1920 G Street NW Washington DC 20006,38.8980713,-77.0446813
Food for Others : Food For Others,VA,VA Fairfax County,Attn: Food For Others 2938 Prosperity Avenue Fairfax VA 22031,(703) 207-9173,Tuesday,Every week,09:30 AM,05:00 PM,No,"ID,Income","Home Delivery,Walk up",Loose groceries,We ask for ID or a piece of mail  to verify Virginia residency. Please check our website for Holiday Closings.,Attn: Food For Others 2938 Prosperity Avenue Fairfax VA 22031,2938 Prosperity Avenue Fairfax VA 22031,38.8721204,-77.2368594
Food for Others : Food For Others,VA,VA Fairfax County,Attn: Food For Others 2938 Prosperity Avenue Fairfax VA 22031,(703) 207-9173,Friday,Every week,09:30 AM,05:00 PM,No,"ID,Income",Walk up,Loose groceries,We ask for ID or a piece of mail  to verify Virginia residency. Please check our website for Holiday Closings.,Attn: Food For Others 2938 Prosperity Avenue Fairfax VA 22031,2938 Prosperity Avenue Fairfax VA 22031,38.8721204,-77.2368594
Food for Others : Food For Others,VA,VA Fairfax County,Attn: Food For Others 2938 Prosperity Avenue Fairfax VA 22031,(703) 207-9173,Wednesday,Every week,09:30 AM,05:00 PM,No,"ID,Income","Home Delivery,Walk up",Loose groceries,We ask for ID or a piece of mail  to verify Virginia residency. Please check our website for Holiday Closings.,Attn: Food For Others 2938 Prosperity Avenue Fairfax VA 22031,2938 Prosperity Avenue Fairfax VA 22031,38.8721204,-77.2368594
Food for Others : Food For Others,VA,VA Fairfax County,Attn: Food For Others 2938 Prosperity Avenue Fairfax VA 22031,(703) 207-9173,Thursday,Every week,09:30 AM,05:00 PM,No,"ID,Income","Home Delivery,Walk up",Loose groceries,We ask for ID or a piece of mail  to verify Virginia residency. Please check our website for Holiday Closings.,Attn: Food For Others 2938 Prosperity Avenue Fairfax VA 22031,2938 Prosperity Avenue Fairfax VA 22031,38.8721204,-77.2368594
"Cornerstones Inc. : Cornerstones, Inc.",VA,VA Fairfax County,"Attn: Cornerstones, Inc. 11484 Washington Plz W  #120 Reston VA 20190",(571) 323-1410,Friday,Every week,08:30 AM,01:30 PM,No,"ID,Zip Code","Home Delivery,Walk up",Loose groceries,,"Attn: Cornerstones, Inc. 11484 Washington Plz W  #120 Reston VA 20190",11484 Washington Plz W #120 Reston VA 20190,,
"Cornerstones Inc. : Cornerstones, Inc.",VA,VA Fairfax County,"Attn: Cornerstones, Inc. 11484 Washington Plz W  #120 Reston VA 20190",(571) 323-1410,Wednesday,Every week,08:30 AM,04:30 PM,No,"ID,Zip Code","Home Delivery,Walk up",Loose groceries,,"Attn: Cornerstones, Inc. 11484 Washington Plz W  #120 Reston VA 20190",11484 Washington Plz W #120 Reston VA 20190,,
"Cornerstones Inc. : Cornerstones, Inc.",VA,VA Fairfax County,"Attn: Cornerstones, Inc. 11484 Washington Plz W  #120 Reston VA 20190",(571) 323-1410,Saturday,1st of the Month,09:00 AM,01:00 PM,No,"ID,Zip Code","Home Delivery,Walk up",Loose groceries,,"Attn: Cornerstones, Inc. 11484 Washington Plz W  #120 Reston VA 20190",11484 Washington Plz W #120 Reston VA 20190,,
"Cornerstones Inc. : Cornerstones, Inc.",VA,VA Fairfax County,"Attn: Cornerstones, Inc. 11484 Washington Plz W  #120 Reston VA 20190",(571) 323-1410,Thursday,Every week,08:30 AM,04:30 PM,No,"ID,Zip Code","Home Delivery,Walk up",Loose groceries,,"Attn: Cornerstones, Inc. 11484 Washington Plz W  #120 Reston VA 20190",11484 Washington Plz W #120 Reston VA 20190,,
"Cornerstones Inc. : Cornerstones, Inc.",VA,VA Fairfax County,"Attn: Cornerstones, Inc. 11484 Washington Plz W  #120 Reston VA 20190",(571) 323-1410,Tuesday,Every week,08:30 AM,04:30 PM,No,"ID,Zip Code","Home Delivery,Walk up",Loose groceries,,"Attn: Cornerstones, Inc. 11484 Washington Plz W  #120 Reston VA 20190",11484 Washington Plz W #120 Reston VA 20190,,
"Cornerstones Inc. : Cornerstones, Inc.",VA,VA Fairfax County,"Attn: Cornerstones, Inc. 11484 Washington Plz W  #120 Reston VA 20190",(571) 323-1410,Monday,Every week,08:30 AM,04:30 PM,No,"ID,Zip Code","Home Delivery,Walk up",Loose groceries,,"Attn: Cornerstones, Inc. 11484 Washington Plz W  #120 Reston VA 20190",11484 Washington Plz W #120 Reston VA 20190,,
Mary House : Mary House,DC,DC Ward 5,Mary House 4303 13th st NE Washington DC 20017,(202) 635-9025,Tuesday,1st and 3rd of the Month,10:00 AM,01:00 PM,Yes,,,Loose groceries,,Mary House 4303 13th st NE Washington DC 20017,4303 13th st NE Washington DC 20017,38.9420099,-76.988045
Columbia Baptist Church : Columbia Baptist Church,VA,VA Fairfax County,Attn: Columbia Baptist Church 3245 Glen Carlyn Rd. Falls Church VA 22041,(571) 422-2075,Saturday,Every week,09:00 AM,10:30 AM,No,,"Drive thru,Walk up",Loose groceries,,Attn: Columbia Baptist Church 3245 Glen Carlyn Rd. Falls Church VA 22041,3245 Glen Carlyn Rd. Falls Church VA 22041,,
Salvation Army : The Salvation Army - Sherman Ave,DC,DC Ward 1,Attn: Salvation Army- Sherman 3335 Sherman Ave. NW Washington DC 20010,(202) 829-0100,Monday,Every week,09:30 AM,01:30 PM,No,"ID,Zip Code",,Pre-bagged or boxed groceries,,Attn: Salvation Army- Sherman 3335 Sherman Ave. NW Washington DC 20010,3335 Sherman Ave. NW Washington DC 20010,38.9315816,-77.0263815
United Community : United Community Ministry,VA,VA Fairfax County,Attn: United Community Ministry 7511 Fordson Road Alexandria VA 22306,(703) 768-7106,Wednesday,Every week,02:00 PM,05:00 PM,No,"ID,Income,Zip Code","Home Delivery,Walk up",Loose groceries,"22303, 22306, 22307, 23308, 22309, 22310. We are not currently accepting new clients at this time.",Attn: United Community Ministry 7511 Fordson Road Alexandria VA 22306,7511 Fordson Road Alexandria VA 22306,,
United Community : United Community Ministry,VA,VA Fairfax County,Attn: United Community Ministry 7511 Fordson Road Alexandria VA 22306,(703) 768-7106,Tuesday,Every week,12:00 PM,03:00 PM,No,"ID,Income,Zip Code",Walk up,Loose groceries,"22303, 22306, 22307, 23308, 22309, 22310. We are not currently accepting new clients at this time.",Attn: United Community Ministry 7511 Fordson Road Alexandria VA 22306,7511 Fordson Road Alexandria VA 22306,,
United Community : United Community Ministry,VA,VA Fairfax County,Attn: United Community Ministry 7511 Fordson Road Alexandria VA 22306,(703) 768-7106,Thursday,Every week,12:00 PM,03:00 PM,No,"ID,Income,Zip Code",Walk up,Loose groceries,"22303, 22306, 22307, 23308, 22309, 22310. We are not currently accepting new clients at this time.",Attn: United Community Ministry 7511 Fordson Road Alexandria VA 22306,7511 Fordson Road Alexandria VA 22306,,
United Community : United Community Ministry,VA,VA Fairfax County,Attn: United Community Ministry 7511 Fordson Road Alexandria VA 22306,(703) 768-7106,Saturday,4th of the Month,08:00 AM,11:00 AM,No,,Walk up,Loose groceries,,Attn: United Community Ministry 7511 Fordson Road Alexandria VA 22306,7511 Fordson Road Alexandria VA 22306,,
United Community : United Community Ministry,VA,VA Fairfax County,Attn: United Community Ministry 7511 Fordson Road Alexandria VA 22306,(703) 768-7106,Monday,Every week,10:00 AM,01:00 PM,No,"ID,Income,Zip Code",Walk up,Loose groceries,"22303, 22306, 22307, 23308, 22309, 22310. We are not currently accepting new clients at this time.",Attn: United Community Ministry 7511 Fordson Road Alexandria VA 22306,7511 Fordson Road Alexandria VA 22306,,
Mount Moriah Baptist Church : Mount Moriah Baptist Church,DC,DC Ward 7,Attn: Mount Moriah Baptist Church 1636 East Capital St NE Washington DC 20001,(410) 271-5656,Wednesday,4th of the Month,10:00 AM,12:00 PM,No,ID,Walk up,Loose groceries,,Attn: Mount Moriah Baptist Church 1636 East Capital St NE Washington DC 20001,1636 East Capital St NE Washington DC 20001,,
Walker Mill Community Development : Walker Mill Community Development Center,MD,MD Prince George's County,Attn: Walker Mill Community Development Center 6801 Walker Mill Rd Capitol Heights MD 20743,(240) 350-4056,Monday,Every week,10:00 AM,12:30 PM,No,ID,Walk up,Loose groceries,Please enter side door and bring own bags,Attn: Walker Mill Community Development Center 6801 Walker Mill Rd Capitol Heights MD 20743,6801 Walker Mill Rd Capitol Heights MD 20743,38.8686339,-76.8906355
Bethlehem Baptist Church : Bethlehem Baptist Church,VA,VA Fairfax County,Attn: Bethlehem Baptist Church 7836 Fordson Road Alexandria VA 22306,(703) 867-6049,Saturday,Every Other Week,12:00 PM,02:00 PM,Yes,Zip Code,Home Delivery,Loose groceries,,Attn: Bethlehem Baptist Church 7836 Fordson Road Alexandria VA 22306,7836 Fordson Road Alexandria VA 22306,,
